deviceId,temperature,humidity,createdAt
BOX-DEL-02,5.68,48.58,2025-01-01 00:00:00
BOX-DEL-02,5.64,51.14,2025-01-01 00:10:00
BOX-DEL-02,5.68,40.05,2025-01-01 00:20:00
BOX-DEL-02,5.91,42.02,2025-01-01 00:30:00
BOX-DEL-02,5.79,48.81,2025-01-01 00:40:00
BOX-DEL-02,5.93,41.38,2025-01-01 00:50:00
BOX-DEL-02,5.63,54.03,2025-01-01 01:00:00
BOX-DEL-02,5.38,52.54,2025-01-01 01:10:00
BOX-DEL-02,5.61,49.78,2025-01-01 01:20:00
BOX-DEL-02,5.81,57.82,2025-01-01 01:30:00
BOX-DEL-02,5.83,40.09,2025-01-01 01:40:00
BOX-DEL-02,5.86,49.21,2025-01-01 01:50:00
BOX-DEL-02,6.08,41.93,2025-01-01 02:00:00
BOX-DEL-02,6.18,41.29,2025-01-01 02:10:00
BOX-DEL-02,6.45,42.67,2025-01-01 02:20:00
BOX-DEL-02,6.27,58.89,2025-01-01 02:30:00
BOX-DEL-02,6.54,49.76,2025-01-01 02:40:00
BOX-DEL-02,6.71,52.91,2025-01-01 02:50:00
BOX-DEL-02,6.76,58.78,2025-01-01 03:00:00
BOX-DEL-02,6.84,51.19,2025-01-01 03:10:00
BOX-DEL-02,7.07,56.61,2025-01-01 03:20:00
BOX-DEL-02,7.24,44.2,2025-01-01 03:30:00
BOX-DEL-02,7.0,46.8,2025-01-01 03:40:00
BOX-DEL-02,7.04,42.33,2025-01-01 03:50:00
BOX-DEL-02,7.0,56.12,2025-01-01 04:00:00
BOX-DEL-02,6.74,57.36,2025-01-01 04:10:00
BOX-DEL-02,6.92,47.57,2025-01-01 04:20:00
BOX-DEL-02,6.83,40.7,2025-01-01 04:30:00
BOX-DEL-02,6.96,54.15,2025-01-01 04:40:00
BOX-DEL-02,6.82,46.77,2025-01-01 04:50:00
BOX-DEL-02,7.04,47.89,2025-01-01 05:00:00
BOX-DEL-02,7.25,58.33,2025-01-01 05:10:00
BOX-DEL-02,7.31,57.35,2025-01-01 05:20:00
BOX-DEL-02,7.57,41.67,2025-01-01 05:30:00
BOX-DEL-02,7.72,52.53,2025-01-01 05:40:00
BOX-DEL-02,7.83,56.3,2025-01-01 05:50:00
BOX-DEL-02,7.92,57.09,2025-01-01 06:00:00
BOX-DEL-02,7.75,46.44,2025-01-01 06:10:00
BOX-DEL-02,7.71,47.17,2025-01-01 06:20:00
BOX-DEL-02,7.47,43.64,2025-01-01 06:30:00
BOX-DEL-02,7.56,44.04,2025-01-01 06:40:00
BOX-DEL-02,7.35,50.77,2025-01-01 06:50:00
BOX-DEL-02,7.55,41.44,2025-01-01 07:00:00
BOX-DEL-02,7.52,43.37,2025-01-01 07:10:00
BOX-DEL-02,7.52,45.77,2025-01-01 07:20:00
BOX-DEL-02,7.63,48.93,2025-01-01 07:30:00
BOX-DEL-02,7.63,54.19,2025-01-01 07:40:00
BOX-DEL-02,7.5,41.57,2025-01-01 07:50:00
BOX-DEL-02,7.31,49.49,2025-01-01 08:00:00
BOX-DEL-02,7.02,56.18,2025-01-01 08:10:00
BOX-DEL-02,6.84,46.54,2025-01-01 08:20:00
BOX-DEL-02,7.03,46.0,2025-01-01 08:30:00
BOX-DEL-02,7.03,45.56,2025-01-01 08:40:00
BOX-DEL-02,7.16,44.24,2025-01-01 08:50:00
BOX-DEL-02,7.41,59.13,2025-01-01 09:00:00
BOX-DEL-02,7.57,53.58,2025-01-01 09:10:00
BOX-DEL-02,7.73,53.58,2025-01-01 09:20:00
BOX-DEL-02,7.91,47.86,2025-01-01 09:30:00
BOX-DEL-02,7.9,54.6,2025-01-01 09:40:00
BOX-DEL-02,7.81,40.62,2025-01-01 09:50:00
BOX-DEL-02,7.54,51.12,2025-01-01 10:00:00
BOX-DEL-02,7.75,40.03,2025-01-01 10:10:00
BOX-DEL-02,7.83,58.07,2025-01-01 10:20:00
BOX-DEL-02,7.58,56.07,2025-01-01 10:30:00
BOX-DEL-02,7.33,44.1,2025-01-01 10:40:00
BOX-DEL-02,7.17,44.82,2025-01-01 10:50:00
